partNumber,Element1,Element2,PlatedElement,Thickness,Stock,Price
P1111111277,Au,Sn,,760,67,105
P1111111278,Au,Sn,,800,93,95
P1111111279,Bi,,,2,62,765
P1111111280,Bi,,,4,10,690
P1111111281,Bi,,,10,94,620
P1111111282,Bi,,,20,6,560
P1111111283,Bi,,,40,162,505
P1111111284,Bi,,,80,28,450
P1111111285,Bi,,,120,48,405
P1111111286,Bi,,,160,110,365
P1111111287,Bi,,,200,51,330
P1111111288,Bi,,,240,165,295
P1111111289,Bi,,,280,22,265
P1111111290,Bi,,,320,181,240
P1111111291,Bi,,,360,133,215
P1111111292,Bi,,,400,185,195
P1111111293,Bi,,,440,59,175
P1111111294,Bi,,,480,172,160
P1111111295,Bi,,,520,54,140
P1111111296,Bi,,,560,140,130
P1111111297,Bi,,,600,32,115
P1111111298,Bi,,,640,60,105
P1111111299,Bi,,,680,100,95
P1111111300,Bi,,,720,190,85
P1111111301,Bi,,,760,151,75
P1111111302,Bi,,,800,69,70
P1111111303,Co,,,2,104,770
P1111111304,Co,,,4,15,690
P1111111305,Co,,,10,188,625
P1111111306,Co,,,20,52,560
P1111111307,Co,,,40,173,505
P1111111308,Co,,,80,98,455
P1111111309,Co,,,120,98,410
P1111111310,Co,,,160,175,370
P1111111311,Co,,,200,24,330
P1111111312,Co,,,240,152,300
P1111111313,Co,,,280,61,270
P1111111314,Co,,,320,68,240
P1111111315,Co,,,360,170,215
P1111111316,Co,,,400,168,195
P1111111317,Co,,,440,108,175
P1111111318,Co,,,480,32,160
P1111111319,Co,,,520,192,140
P1111111320,Co,,,560,174,130
P1111111321,Co,,,600,186,115
P1111111322,Co,,,640,56,105
P1111111323,Co,,,680,152,95
P1111111324,Co,,,720,62,85
P1111111325,Co,,,760,189,75
P1111111326,Co,,,800,73,70
P1111111327,Cr,,,2,25,675
P1111111328,Cr,,,4,104,610
P1111111329,Cr,,,10,187,545
P1111111330,Cr,,,20,141,490
P1111111331,Cr,,,40,188,445
P1111111332,Cr,,,80,68,400
P1111111333,Cr,,,120,191,360
P1111111334,Cr,,,160,76,325
P1111111335,Cr,,,200,138,290
P1111111336,Cr,,,240,124,260
P1111111337,Cr,,,280,169,235
P1111111338,Cr,,,320,32,210
P1111111339,Cr,,,360,56,190
P1111111340,Cr,,,400,27,170
P1111111341,Cr,,,440,102,155
P1111111342,Cr,,,480,108,140
P1111111343,Cr,,,520,44,125
P1111111344,Cr,,,560,78,115
P1111111345,Cr,,,600,16,100
P1111111346,Cr,,,640,85,90
P1111111347,Cr,,,680,189,80
P1111111348,Cr,,,720,34,75
P1111111349,Cr,,,760,157,65
P1111111350,Cr,,,800,57,60
P1111111351,Cr,Cu,,2,169,1045
P1111111352,Cr,Cu,,4,97,940
P1111111353,Cr,Cu,,10,196,845
P1111111354,Cr,Cu,,20,96,760
P1111111355,Cr,Cu,,40,7,685
P1111111356,Cr,Cu,,80,29,615
P1111111357,Cr,Cu,,120,36,555
P1111111358,Cr,Cu,,160,121,500
P1111111359,Cr,Cu,,200,75,450
P1111111360,Cr,Cu,,240,38,405
P1111111361,Cr,Cu,,280,33,365
P1111111362,Cr,Cu,,320,47,325
P1111111363,Cr,Cu,,360,71,295
P1111111364,Cr,Cu,,400,160,265
P1111111365,Cr,Cu,,440,196,240
P1111111366,Cr,Cu,,480,152,215
P1111111367,Cr,Cu,,520,185,195
P1111111368,Cr,Cu,,560,100,175
P1111111369,Cr,Cu,,600,135,155
P1111111370,Cr,Cu,,640,7,140
P1111111371,Cr,Cu,,680,127,125
P1111111372,Cr,Cu,,720,27,115
P1111111373,Cr,Cu,,760,161,105
P1111111374,Cr,Cu,,800,150,90
P1111111375,Cr,Fe,,2,151,880
P1111111376,Cr,Fe,,4,110,790
P1111111377,Cr,Fe,,10,77,710
P1111111378,Cr,Fe,,20,84,640
P1111111379,Cr,Fe,,40,40,575
P1111111380,Cr,Fe,,80,13,520
P1111111381,Cr,Fe,,120,89,465
P1111111382,Cr,Fe,,160,89,420
P1111111383,Cr,Fe,,200,133,380
P1111111384,Cr,Fe,,240,80,340
P1111111385,Cr,Fe,,280,32,305
P1111111386,Cr,Fe,,320,99,275
P1111111387,Cr,Fe,,360,139,250
P1111111388,Cr,Fe,,400,148,225
P1111111389,Cr,Fe,,440,58,200
P1111111390,Cr,Fe,,480,28,180
P1111111391,Cr,Fe,,520,148,165
P1111111392,Cr,Fe,,560,185,145
P1111111393,Cr,Fe,,600,154,130
P1111111394,Cr,Fe,,640,157,120
P1111111395,Cr,Fe,,680,123,105
P1111111396,Cr,Fe,,720,143,95
P1111111397,Cr,Fe,,760,44,85
P1111111398,Cr,Fe,,800,65,80
P1111111399,Cu,,,2,194,515
P1111111400,Cu,,,4,177,460
P1111111401,Cu,,,10,139,415
P1111111402,Cu,,,20,121,375
P1111111403,Cu,,,40,146,335
P1111111404,Cu,,,80,155,305
P1111111405,Cu,,,120,150,275
P1111111406,Cu,,,160,174,245
P1111111407,Cu,,,200,117,220
P1111111408,Cu,,,240,55,200
P1111111409,Cu,,,280,100,180
P1111111410,Cu,,,320,166,160
P1111111411,Cu,,,360,155,145
P1111111412,Cu,,,400,98,130
P1111111413,Cu,,,440,161,115
P1111111414,Cu,,,480,100,105
P1111111415,Cu,,,520,16,95
P1111111416,Cu,,,560,180,85
P1111111417,Cu,,,600,95,75
P1111111418,Cu,,,640,163,70
P1111111419,Cu,,,680,36,60
P1111111420,Cu,,,720,130,55
P1111111421,Cu,,,760,75,50
P1111111422,Cu,,,800,7,45
P1111111423,Cu,Fe,,2,113,1055
P1111111424,Cu,Fe,,4,83,950
P1111111425,Cu,Fe,,10,130,855
P1111111426,Cu,Fe,,20,86,770
P1111111427,Cu,Fe,,40,165,690
P1111111428,Cu,Fe,,80,36,625
P1111111429,Cu,Fe,,120,30,560
P1111111430,Cu,Fe,,160,186,505
P1111111431,Cu,Fe,,200,146,455
P1111111432,Cu,Fe,,240,149,410
P1111111433,Cu,Fe,,280,113,370
P1111111434,Cu,Fe,,320,54,330
P1111111435,Cu,Fe,,360,97,300
P1111111436,Cu,Fe,,400,43,270
P1111111437,Cu,Fe,,440,35,240
P1111111438,Cu,Fe,,480,78,215
P1111111439,Cu,Fe,,520,23,195
P1111111440,Cu,Fe,,560,143,175
P1111111441,Cu,Fe,,600,33,160
P1111111442,Cu,Fe,,640,130,140
P1111111443,Cu,Fe,,680,197,130
P1111111444,Cu,Fe,,720,87,115
P1111111445,Cu,Fe,,760,172,105
P1111111446,Cu,Fe,,800,133,95
P1111111447,Cu,Zn,,2,93,1235
P1111111448,Cu,Zn,,4,36,1110
P1111111449,Cu,Zn,,10,35,1000
P1111111450,Cu,Zn,,20,121,900
P1111111451,Cu,Zn,,40,29,810
P1111111452,Cu,Zn,,80,10,730
P1111111453,Cu,Zn,,120,21,655
P1111111454,Cu,Zn,,160,68,590
P1111111455,Cu,Zn,,200,142,530
P1111111456,Cu,Zn,,240,141,480
P1111111457,Cu,Zn,,280,189,430
P1111111458,Cu,Zn,,320,159,390
P1111111459,Cu,Zn,,360,177,350
P1111111460,Cu,Zn,,400,30,315
P1111111461,Cu,Zn,,440,77,285
P1111111462,Cu,Zn,,480,171,255
P1111111463,Cu,Zn,,520,91,230
P1111111464,Cu,Zn,,560,52,205
P1111111465,Cu,Zn,,600,195,185
P1111111466,Cu,Zn,,640,69,165
P1111111467,Cu,Zn,,680,160,150
P1111111468,Cu,Zn,,720,187,135
P1111111469,Cu,Zn,,760,119,120
P1111111470,Cu,Zn,,800,72,110
P1111111471,Fe,,,2,190,585
P1111111472,Fe,,,4,19,525
P1111111473,Fe,,,10,141,475
P1111111474,Fe,,,20,80,425
P1111111475,Fe,,,40,25,385
P1111111476,Fe,,,80,80,345
P1111111477,Fe,,,120,151,310
P1111111478,Fe,,,160,62,280
P1111111479,Fe,,,200,97,250
P1111111480,Fe,,,240,10,225
P1111111481,Fe,,,280,97,205
P1111111482,Fe,,,320,31,185
P1111111483,Fe,,,360,44,165
P1111111484,Fe,,,400,78,150
P1111111485,Fe,,,440,84,135
P1111111486,Fe,,,480,99,120
P1111111487,Fe,,,520,103,110
P1111111488,Fe,,,560,83,100
P1111111489,Fe,,,600,193,90
P1111111490,Fe,,,640,98,80
P1111111491,Fe,,,680,110,70
P1111111492,Fe,,,720,181,65
P1111111493,Fe,,,760,117,60
P1111111494,Fe,,,800,139,50
P1111111495,In,,,2,59,805
P1111111496,In,,,4,108,725
P1111111497,In,,,10,17,655
P1111111498,In,,,20,104,590
P1111111499,In,,,40,134,530
P1111111500,In,,,80,21,475
P1111111501,In,,,120,123,430
P1111111502,In,,,160,84,385
P1111111503,In,,,200,69,345
P1111111504,In,,,240,41,310
P1111111505,In,,,280,8,280
P1111111506,In,,,320,9,255
P1111111507,In,,,360,190,230
P1111111508,In,,,400,123,205
P1111111509,In,,,440,15,185
P1111111510,In,,,480,198,165
P1111111511,In,,,520,99,150
P1111111512,In,,,560,189,135
P1111111513,In,,,600,31,120
P1111111514,In,,,640,105,110
P1111111515,In,,,680,42,100
P1111111516,In,,,720,135,90
P1111111517,In,,,760,63,80
P1111111518,In,,,800,133,70
P1111111519,Ir,,,2,48,825
P1111111520,Ir,,,4,102,740
P1111111521,Ir,,,10,67,665
P1111111522,Ir,,,20,157,600
P1111111523,Ir,,,40,82,540
P1111111524,Ir,,,80,192,485
P1111111525,Ir,,,120,189,440
P1111111526,Ir,,,160,18,395
P1111111527,Ir,,,200,55,355
P1111111528,Ir,,,240,19,320
P1111111529,Ir,,,280,24,285
P1111111530,Ir,,,320,75,260
P1111111531,Ir,,,360,107,235
P1111111532,Ir,,,400,187,210
P1111111533,Ir,,,440,19,190
P1111111534,Ir,,,480,5,170
P1111111535,Ir,,,520,100,155
P1111111536,Ir,,,560,88,135
P1111111537,Ir,,,600,94,125
P1111111538,Ir,,,640,9,110
P1111111539,Ir,,,680,173,100
P1111111540,Ir,,,720,144,90
P1111111541,Ir,,,760,183,80
P1111111542,Ir,,,800,114,75
P1111111543,Mg,,,2,18,520
P1111111544,Mg,,,4,103,470
P1111111545,Mg,,,10,75,420
P1111111546,Mg,,,20,124,380
P1111111547,Mg,,,40,68,340
P1111111548,Mg,,,80,101,305
P1111111549,Mg,,,120,60,275
P1111111550,Mg,,,160,98,250
P1111111551,Mg,,,200,141,225
P1111111552,Mg,,,240,18,200
P1111111553,Mg,,,280,133,180
P1111111554,Mg,,,320,167,165
P1111111555,Mg,,,360,197,145
P1111111556,Mg,,,400,130,130
P1111111557,Mg,,,440,99,120
P1111111558,Mg,,,480,84,105
P1111111559,Mg,,,520,166,95
P1111111560,Mg,,,560,14,85
P1111111561,Mg,,,600,167,80
P1111111562,Mg,,,640,47,70
P1111111563,Mg,,,680,127,65
P1111111564,Mg,,,720,141,55
P1111111565,Mg,,,760,154,50
P1111111566,Mg,,,800,104,45
P1111111567,Mo,,,2,175,520
P1111111568,Mo,,,4,44,465
P1111111569,Mo,,,10,95,420
P1111111570,Mo,,,20,99,380
P1111111571,Mo,,,40,24,340
P1111111572,Mo,,,80,170,305
P1111111573,Mo,,,120,128,275
P1111111574,Mo,,,160,33,250
P1111111575,Mo,,,200,60,225
P1111111576,Mo,,,240,38,200
P1111111577,Mo,,,280,178,180
P1111111578,Mo,,,320,121,165
P1111111579,Mo,,,360,40,145
P1111111580,Mo,,,400,31,130
P1111111581,Mo,,,440,27,120
P1111111582,Mo,,,480,122,105
P1111111583,Mo,,,520,84,95
P1111111584,Mo,,,560,83,85
P1111111585,Mo,,,600,29,80
P1111111586,Mo,,,640,137,70
P1111111587,Mo,,,680,173,65
P1111111588,Mo,,,720,73,55
P1111111589,Mo,,,760,110,50
P1111111590,Mo,,,800,166,45
P1111111591,Ni,,,2,181,870
P1111111592,Ni,,,4,91,785
P1111111593,Ni,,,10,128,705
P1111111594,Ni,,,20,37,635
P1111111595,Ni,,,40,184,570
P1111111596,Ni,,,80,105,515
P1111111597,Ni,,,120,182,460
P1111111598,Ni,,,160,141,415
P1111111599,Ni,,,200,124,375
P1111111600,Ni,,,240,191,335
P1111111601,Ni,,,280,20,305
P1111111602,Ni,,,320,69,275
P1111111603,Ni,,,360,169,245
P1111111604,Ni,,,400,122,220
P1111111605,Ni,,,440,55,200
P1111111606,Ni,,,480,152,180
P1111111607,Ni,,,520,137,160
P1111111608,Ni,,,560,122,145
P1111111609,Ni,,,600,32,130
P1111111610,Ni,,,640,144,120
P1111111611,Ni,,,680,26,105
P1111111612,Ni,,,720,107,95
P1111111613,Ni,,,760,67,85
P1111111614,Ni,,,800,147,75
P1111111615,Ni,Al,,2,102,1085
P1111111616,Ni,Al,,4,196,975
P1111111617,Ni,Al,,10,75,880
P1111111618,Ni,Al,,20,170,790
P1111111619,Ni,Al,,40,143,710
P1111111620,Ni,Al,,80,128,640
P1111111621,Ni,Al,,120,157,575
P1111111622,Ni,Al,,160,115,520
P1111111623,Ni,Al,,200,75,465
P1111111624,Ni,Al,,240,170,420
P1111111625,Ni,Al,,280,165,380
P1111111626,Ni,Al,,320,80,340
P1111111627,Ni,Al,,360,39,305
P1111111628,Ni,Al,,400,158,275
P1111111629,Ni,Al,,440,108,250
P1111111630,Ni,Al,,480,113,225
P1111111631,Ni,Al,,520,118,200
P1111111632,Ni,Al,,560,50,180
P1111111633,Ni,Al,,600,182,165
P1111111634,Ni,Al,,640,120,145
P1111111635,Ni,Al,,680,199,130
P1111111636,Ni,Al,,720,130,120
P1111111637,Ni,Al,,760,15,105
P1111111638,Ni,Al,,800,147,95
P1111111639,Ni,Cu,,2,36,840
P1111111640,Ni,Cu,,4,76,760
P1111111641,Ni,Cu,,10,27,680
P1111111642,Ni,Cu,,20,71,615
P1111111643,Ni,Cu,,40,115,555
P1111111644,Ni,Cu,,80,50,495
P1111111645,Ni,Cu,,120,181,450
P1111111646,Ni,Cu,,160,164,405
P1111111647,Ni,Cu,,200,47,365
P1111111648,Ni,Cu,,240,161,325
P1111111649,Ni,Cu,,280,100,295
P1111111650,Ni,Cu,,320,13,265
P1111111651,Ni,Cu,,360,75,240
P1111111652,Ni,Cu,,400,152,215
P1111111653,Ni,Cu,,440,176,195
P1111111654,Ni,Cu,,480,88,175
P1111111655,Ni,Cu,,520,19,155
P1111111656,Ni,Cu,,560,170,140
P1111111657,Ni,Cu,,600,170,125
P1111111658,Ni,Cu,,640,167,115
P1111111659,Ni,Cu,,680,13,100
P1111111660,Ni,Cu,,720,74,90
P1111111661,Ni,Cu,,760,150,85
P1111111662,Ni,Cu,,800,84,75
P1111111663,Ni,Fe,,2,31,690
P1111111664,Ni,Fe,,4,40,620
P1111111665,Ni,Fe,,10,185,555
P1111111666,Ni,Fe,,20,6,500
P1111111667,Ni,Fe,,40,156,450
P1111111668,Ni,Fe,,80,48,405
P1111111669,Ni,Fe,,120,49,365
P1111111670,Ni,Fe,,160,88,330
P1111111671,Ni,Fe,,200,38,295
P1111111672,Ni,Fe,,240,142,265
P1111111673,Ni,Fe,,280,5,240
P1111111674,Ni,Fe,,320,114,215
P1111111675,Ni,Fe,,360,25,195
P1111111676,Ni,Fe,,400,34,175
P1111111677,Ni,Fe,,440,105,155
P1111111678,Ni,Fe,,480,80,140
P1111111679,Ni,Fe,,520,52,125
P1111111680,Ni,Fe,,560,69,115
P1111111681,Ni,Fe,,600,71,105
P1111111682,Ni,Fe,,640,95,95
P1111111683,Ni,Fe,,680,139,85
P1111111684,Ni,Fe,,720,91,75
P1111111685,Ni,Fe,,760,170,70
P1111111686,Ni,Fe,,800,27,60
P1111111687,Ni,,Al,2,140,730
P1111111688,Ni,,Al,4,195,655
P1111111689,Ni,,Al,10,134,590
P1111111690,Ni,,Al,20,194,530
P1111111691,Ni,,Al,40,23,480
P1111111692,Ni,,Al,80,183,430
P1111111693,Ni,,Al,120,180,385
P1111111694,Ni,,Al,160,12,350
P1111111695,Ni,,Al,200,36,315
P1111111696,Ni,,Al,240,163,280
P1111111697,Ni,,Al,280,102,255
P1111111698,Ni,,Al,320,153,230
P1111111699,Ni,,Al,360,123,205
P1111111700,Ni,,Al,400,11,185
P1111111701,Ni,,Al,440,10,165
P1111111702,Ni,,Al,480,30,150
P1111111703,Ni,,Al,520,102,135
P1111111704,Ni,,Al,560,86,120
P1111111705,Ni,,Al,600,165,110
P1111111706,Ni,,Al,640,20,100
P1111111707,Ni,,Al,680,36,90
P1111111708,Ni,,Al,720,157,80
P1111111709,Ni,,Al,760,170,70
P1111111710,Ni,,Al,800,152,65
P1111111711,Ni,,Cu,2,27,710
P1111111712,Ni,,Cu,4,141,640
P1111111713,Ni,,Cu,10,117,575
P1111111714,Ni,,Cu,20,32,520
P1111111715,Ni,,Cu,40,146,465
P1111111716,Ni,,Cu,80,149,420
P1111111717,Ni,,Cu,120,50,380
P1111111718,Ni,,Cu,160,18,340
P1111111719,Ni,,Cu,200,22,305
P1111111720,Ni,,Cu,240,188,275
P1111111721,Ni,,Cu,280,183,250
P1111111722,Ni,,Cu,320,24,225
P1111111723,Ni,,Cu,360,148,200
P1111111724,Ni,,Cu,400,140,180
P1111111725,Ni,,Cu,440,86,165
P1111111726,Ni,,Cu,480,168,145
P1111111727,Ni,,Cu,520,35,130
P1111111728,Ni,,Cu,560,102,120
P1111111729,Ni,,Cu,600,126,105
P1111111730,Ni,,Cu,640,71,95
P1111111731,Ni,,Cu,680,155,85
P1111111732,Ni,,Cu,720,190,80
P1111111733,Ni,,Cu,760,182,70
P1111111734,Ni,,Cu,800,169,65
P1111111735,Ni,,Fe,2,14,885
P1111111736,Ni,,Fe,4,28,795
P1111111737,Ni,,Fe,10,128,715
P1111111738,Ni,,Fe,20,181,645
P1111111739,Ni,,Fe,40,35,580
P1111111740,Ni,,Fe,80,161,520
P1111111741,Ni,,Fe,120,171,470
P1111111742,Ni,,Fe,160,36,425
P1111111743,Ni,,Fe,200,16,380
P1111111744,Ni,,Fe,240,121,340
P1111111745,Ni,,Fe,280,116,310
P1111111746,Ni,,Fe,320,129,275
P1111111747,Ni,,Fe,360,108,250
P1111111748,Ni,,Fe,400,171,225
P1111111749,Ni,,Fe,440,156,200
P1111111750,Ni,,Fe,480,109,180
P1111111751,Ni,,Fe,520,17,165
P1111111752,Ni,,Fe,560,45,145
P1111111753,Ni,,Fe,600,94,135
P1111111754,Ni,,Fe,640,14,120
P1111111755,Ni,,Fe,680,107,105
P1111111756,Ni,,Fe,720,124,95
P1111111757,Ni,,Fe,760,58,85
P1111111758,Ni,,Fe,800,70,80
P1111111759,Pb,,,2,10,535
P1111111760,Pb,,,4,60,480
P1111111761,Pb,,,10,63,435
P1111111762,Pb,,,20,162,390
P1111111763,Pb,,,40,47,350
P1111111764,Pb,,,80,86,315
P1111111765,Pb,,,120,193,285
P1111111766,Pb,,,160,189,255
P1111111767,Pb,,,200,101,230
P1111111768,Pb,,,240,182,210
P1111111769,Pb,,,280,108,185
P1111111770,Pb,,,320,171,170
P1111111771,Pb,,,360,126,150
P1111111772,Pb,,,400,31,135
P1111111773,Pb,,,440,18,125
P1111111774,Pb,,,480,115,110
P1111111775,Pb,,,520,148,100
P1111111776,Pb,,,560,161,90
P1111111777,Pb,,,600,152,80
P1111111778,Pb,,,640,129,70
P1111111779,Pb,,,680,9,65
P1111111780,Pb,,,720,49,60
P1111111781,Pb,,,760,42,55
P1111111782,Pb,,,800,186,50
P1111111783,Pb,Cu,,2,69,915
P1111111784,Pb,Cu,,4,42,825
P1111111785,Pb,Cu,,10,18,740
P1111111786,Pb,Cu,,20,195,665
P1111111787,Pb,Cu,,40,150,600
P1111111788,Pb,Cu,,80,58,540
P1111111789,Pb,Cu,,120,114,485
P1111111790,Pb,Cu,,160,135,435
P1111111791,Pb,Cu,,200,44,395
P1111111792,Pb,Cu,,240,16,355
P1111111793,Pb,Cu,,280,170,320
P1111111794,Pb,Cu,,320,167,285
P1111111795,Pb,Cu,,360,174,260
P1111111796,Pb,Cu,,400,58,230
P1111111797,Pb,Cu,,440,9,210
P1111111798,Pb,Cu,,480,157,190
P1111111799,Pb,Cu,,520,143,170
P1111111800,Pb,Cu,,560,200,150
P1111111801,Pb,Cu,,600,55,135
P1111111802,Pb,Cu,,640,45,125
P1111111803,Pb,Cu,,680,104,110
P1111111804,Pb,Cu,,720,147,100
P1111111805,Pb,Cu,,760,57,90
P1111111806,Pb,Cu,,800,23,80
P1111111807,Pd,,,2,47,985
P1111111808,Pd,,,4,185,885
P1111111809,Pd,,,10,21,800
P1111111810,Pd,,,20,182,720
P1111111811,Pd,,,40,91,645
P1111111812,Pd,,,80,99,580
P1111111813,Pd,,,120,149,525
P1111111814,Pd,,,160,136,470
P1111111815,Pd,,,200,142,425
P1111111816,Pd,,,240,31,380
P1111111817,Pd,,,280,183,345
P1111111818,Pd,,,320,113,310
P1111111819,Pd,,,360,54,280
P1111111820,Pd,,,400,148,250
P1111111821,Pd,,,440,68,225
P1111111822,Pd,,,480,44,205
P1111111823,Pd,,,520,121,185
P1111111824,Pd,,,560,93,165
P1111111825,Pd,,,600,123,150
P1111111826,Pd,,,640,63,135
P1111111827,Pd,,,680,176,120
P1111111828,Pd,,,720,36,110
P1111111829,Pd,,,760,60,95
P1111111830,Pd,,,800,93,85
P1111111831,Rh,,,2,116,725
P1111111832,Rh,,,4,9,650
P1111111833,Rh,,,10,92,585
P1111111834,Rh,,,20,167,525
P1111111835,Rh,,,40,45,475
P1111111836,Rh,,,80,133,425
P1111111837,Rh,,,120,30,385
